Effect,DF,WaldChiSq,ProbChiSq
SAVBAL_Bin,6,543.6226,<.0001
DDABAL_Bin,7,283.7405,<.0001
CDBAL_Bin,2,165.8919,<.0001
MM,1,96.7047,<.0001
CHECKS_Bin,3,88.3312,<.0001
BRANCH,18,101.7173,<.0001
ATMAMT_Bin,2,39.8746,<.0001
TELLER_Bin,2,35.6464,<.0001
CC,1,22.1380,<.0001
IRA,1,16.5175,<.0001
DDA,1,15.0568,0.0001
INV,1,14.6436,0.0001
ILS,1,14.1659,0.0002
NSF,1,10.5584,0.0012
