Effect,DF,WaldChiSq,ProbChiSq
SAVBAL_Bin,6,490.3043,<.0001
CDBAL_Bin,2,154.7188,<.0001
CHECKS_Bin,3,99.0389,<.0001
MM,1,84.4574,<.0001
DDABAL_Bi*SAVBAL_Bin,42,164.3622,<.0001
BRANCH,18,97.7096,<.0001
TELLER_Bin,2,36.6166,<.0001
ATMAMT_Bin,2,36.2792,<.0001
DDABAL_Bin,7,35.3391,<.0001
CC,1,17.4153,<.0001
NSF,1,17.3980,<.0001
MM*DDABAL_Bin,7,27.9171,0.0002
IRA,1,13.5405,0.0002
INV,1,12.5963,0.0004
DDA,1,12.5643,0.0004
ILS,1,11.6660,0.0006
DDA*IRA,1,10.3360,0.0013
